Date,Open_samsung,High_samsung,Low_samsung,Close_samsung,Volume_samsung,Change_samsung,Open_lg,High_lg,Low_lg,Close_lg,Volume_lg,Change_lg
2015-04-17,29539,29559,28940,29000,203446,-0.018280297901150933,60400,60600,60000,60400,519795,0.0016583747927032544
2015-04-20,28920,28960,28460,28600,247898,-0.01379310344827589,60000,60300,59600,59900,665515,-0.008278145695364225
2015-04-21,28420,28900,28399,28880,237053,0.009790209790209836,60300,60400,59300,59300,667362,-0.01001669449081799
2015-04-22,28879,29460,28720,29220,253111,0.011772853185595622,59400,59800,59000,59200,703104,-0.001686340640809414
2015-04-23,29400,29400,28800,29020,184903,-0.006844626967830281,60000,62300,59700,61900,2620035,0.045608108108108114
2015-04-24,28979,29100,28000,28200,381798,-0.028256374913852467,62700,63400,61900,62300,1684225,0.00646203554119551
2015-04-27,28200,28220,27500,27900,330343,-0.010638297872340385,62400,62800,61200,61300,894630,-0.0160513643659711
2015-04-28,27799,28000,27180,27320,313946,-0.02078853046594986,61400,61700,60500,61000,750171,-0.004893964110929905
2015-04-29,27339,27880,27279,27700,217913,0.013909224011713128,61400,61600,60000,61200,859215,0.003278688524590123
2015-04-30,27699,28360,27580,28200,367057,0.018050541516245522,60800,61400,60300,60400,590322,-0.013071895424836555
2015-05-04,28140,28460,27940,28000,165674,-0.007092198581560294,60300,60700,59500,59700,677044,-0.011589403973509937
2015-05-06,27800,27819,27120,27240,265410,-0.027142857142857135,59700,60000,58400,58800,931974,-0.015075376884422065
2015-05-07,27240,27500,27080,27400,205148,0.005873715124816492,58700,58700,57900,58500,588154,-0.005102040816326481
2015-05-08,27319,27400,26760,26760,189762,-0.023357664233576658,58600,59000,58300,58400,496877,-0.0017094017094017033
2015-05-11,27200,27200,26719,26720,192809,-0.001494768310911776,58600,59000,58400,58600,461363,0.003424657534246478
2015-05-12,26900,27060,26480,26620,212664,-0.0037425149700598404,58900,59100,58000,58100,721535,-0.008532423208191142
2015-05-13,26979,26979,26520,26660,197545,0.0015026296018032514,58100,58400,57700,58000,488945,-0.0017211703958691649
2015-05-14,26820,26860,26559,26800,169770,0.005251312828207011,58000,58600,57800,58200,426615,0.0034482758620688614
2015-05-15,27100,27120,26420,26520,178447,-0.010447761194029903,58400,58700,57800,57900,565126,-0.005154639175257714
2015-05-18,26700,26700,26180,26400,192537,-0.004524886877828038,57900,58200,56900,57000,888252,-0.015544041450777257
2015-05-19,26419,27100,26139,26760,173618,0.013636363636363669,57200,57600,57100,57100,586560,0.0017543859649122862
2015-05-20,26980,27400,26820,27320,205829,0.020926756352765308,57300,57600,57100,57100,679745,0.0
2015-05-21,27420,27440,26880,27040,144212,-0.010248901903367469,57200,57200,56100,56200,950210,-0.015761821366024553
2015-05-22,27060,27060,26700,27000,163916,-0.0014792899408283544,56200,56900,55900,56900,713560,0.01245551601423478
2015-05-26,27320,27380,26720,27240,200683,0.008888888888888946,56900,56900,56400,56500,491813,-0.007029876977152849
2015-05-27,27200,27319,26260,26280,345309,-0.03524229074889873,56300,56500,55700,56100,741352,-0.0070796460176991705
2015-05-28,26340,26420,26020,26180,300963,-0.003805175038051778,56400,56500,56000,56100,501994,0.0
2015-05-29,26399,26420,25940,26140,347615,-0.0015278838808250317,56000,56100,55300,55300,809294,-0.014260249554367221
2015-06-01,26000,26020,25760,25820,218439,-0.01224177505738333,55000,56000,54500,55400,466304,0.001808318264014508
2015-06-02,26000,26060,25760,26060,175151,0.009295120061967532,55400,57200,55400,55400,727183,0.0
2015-06-03,26060,26320,25300,25460,235388,-0.023023791250959325,55500,55900,54800,55000,632922,-0.0072202166064981865
2015-06-04,26300,26820,26100,26740,388239,0.050274941084053504,55000,55400,54500,55100,531209,0.0018181818181817189
2015-06-05,26499,27100,26400,26820,196563,0.0029917726252803867,54800,55000,54000,54200,773255,-0.016333938294010864
2015-06-08,26900,26940,26260,26280,202379,-0.020134228187919434,54200,54800,53500,53500,719882,-0.01291512915129156
2015-06-09,26000,26200,25360,25640,274705,-0.0243531202435312,53300,53700,52700,53200,918999,-0.005607476635513975
2015-06-10,25640,25880,25240,25240,250034,-0.015600624024960985,53300,53500,52700,52800,650822,-0.007518796992481258
2015-06-11,25260,25480,25060,25140,306281,-0.003961965134706813,53400,53900,53000,53100,1037188,0.005681818181818121
2015-06-12,25560,25740,25280,25540,234830,0.015910898965791676,52900,53600,51500,51900,1068483,-0.02259887005649719
